gene,L,x,b,B,g,w,P,Pz,Ps,T,I,E,mean_E,h,m,queue
YBR049C,811,1.41,6235.88,8788.12,3.3385,27.08,1.686309e-04,3.914677e-05,6.538280e-02,166488,5930,160558,198.0,25632204,36979454,0
YBR052C,211,6.69,20.01,133.88,1.1393,2.40,5.504479e-05,1.858225e-04,4.496144e-03,61840,18167,43673,207.0,252016,363582,0
YBR053C,359,3.16,742.28,2344.37,0.9690,3.48,4.858914e-05,8.773124e-05,8.406345e-03,92179,20581,71598,199.4,10589037,15276752,0
YBR054W,345,1.07,407.73,436.25,2.3677,8.17,1.662706e-04,2.972051e-05,8.491443e-02,55143,6014,49129,142.4,1699752,2452224,0
YBR055C,900,1.51,528.65,800.10,0.5096,4.59,2.200803e-05,4.204091e-05,7.945686e-03,253855,45438,208417,231.6,16649984,24020850,0
YBR056W,502,2.62,208.82,546.52,0.7146,3.59,3.896977e-05,7.270016e-05,8.136072e-03,117720,25661,92059,183.4,3714230,5358501,0
YBR057C,367,2.30,941.07,2163.75,1.2725,4.67,5.274053e-05,6.386781e-05,1.253386e-02,107510,18961,88549,241.3,12368119,17843423,0
YBR058C,782,2.27,1363.56,3102.03,1.0106,7.90,4.656634e-05,6.319300e-05,1.118473e-02,191195,21475,169720,217.0,20296797,29282088,0
YBR058C-A,81,24.39,NA,NA,0.9025,0.73,3.909180e-05,6.775052e-04,8.757806e-04,44281,25581,18700,230.9,NA,NA,0
YBR059C,1109,0.66,2980.50,1958.37,2.6182,29.04,1.135311e-04,1.825168e-05,9.441354e-02,264559,8808,255751,230.6,18197011,26252738,0
YBR060C,621,1.15,428.57,493.54,1.1663,7.24,4.805835e-05,3.198876e-05,2.280309e-02,171511,20808,150703,242.7,6181282,8917704,0
YBR061C,311,3.85,141.89,546.02,1.0516,3.27,4.732927e-05,1.068936e-04,6.720482e-03,90231,21129,69102,222.2,2078035,2997971,0
YBR062C,181,5.92,18.70,110.72,0.5965,1.08,2.765541e-05,1.644804e-04,2.552045e-03,75197,36159,39038,215.7,468675,676155,0
YBR063C,405,1.54,21.72,33.38,0.0080,0.03,3.561198e-07,4.269022e-05,1.266164e-04,2899297,2808044,91253,225.3,42275644,60990862,0
YBR065C,365,1.60,622.17,997.85,0.7166,2.62,2.962449e-05,4.455065e-05,1.009298e-02,122053,33756,88297,241.9,14557308,21001756,0
YBR066C,221,5.48,32.61,178.75,0.7503,1.66,2.943418e-05,1.522802e-04,2.933802e-03,90305,33974,56331,254.9,767864,1107794,0
YBR067C,211,14.23,2191.66,31182.76,2.3673,5.00,1.844545e-04,3.952197e-04,7.083911e-03,32501,5421,27080,128.3,8235871,11881850,0
YBR068C,610,15.37,219.60,3375.26,0.5492,3.35,2.556559e-05,4.269502e-04,9.088683e-04,170153,39115,131038,214.8,5953841,8589577,0
YBR069C,620,9.58,136.48,1307.61,0.6701,4.15,2.953273e-05,2.661358e-04,1.684312e-03,174538,33861,140677,226.9,3203278,4621353,0
YBR070C,238,2.77,57.42,158.89,0.5157,1.23,1.895923e-05,7.686599e-05,3.743767e-03,117478,52745,64733,272.0,2099315,3028671,0
YBR071W,212,2.48,148.15,368.07,1.9534,4.14,7.682049e-05,6.901074e-05,1.689595e-02,66924,13017,53907,254.3,1336771,1928552,0
YBR072W,215,1.21,139.80,169.53,1.4558,3.13,9.637633e-05,3.368518e-05,4.342640e-02,42853,10376,32477,151.1,1005473,1450592,0
YBR073W,959,1.77,8248.47,14594.84,1.1302,10.84,4.785130e-05,4.915001e-05,1.477721e-02,247407,20898,226509,236.2,119482697,172377095,0
YBR074W,977,2.10,2676.10,5618.52,0.7499,7.33,3.016701e-05,5.831982e-05,7.851243e-03,276019,33149,242870,248.6,61488816,88709610,0
YBR077C,163,6.42,43.21,277.59,1.0684,1.74,4.536441e-05,1.784469e-04,3.858590e-03,60432,22044,38388,235.5,660241,952526,0
YBR078W,469,15.78,6837.60,107871.70,6.7155,31.50,5.347657e-04,4.382297e-04,1.852184e-02,60766,1870,58896,125.6,8862685,12786152,1
YBR079C,965,4.30,11918.98,51256.97,3.6333,35.06,2.317863e-04,1.194570e-04,2.945089e-02,155578,4314,151264,156.8,35643201,51422270,0
YBR080C,759,1.82,NA,NA,3.4702,26.34,1.741253e-04,5.061681e-05,5.221429e-02,157008,5743,151265,199.3,NA,NA,0
YBR081C,1333,0.95,397.55,376.41,0.9022,12.03,4.207188e-05,2.630062e-05,2.427997e-02,309626,23769,285857,214.4,6549819,9449391,0
YBR082C,149,13.99,320.36,4481.45,3.0526,4.55,1.935579e-04,3.885803e-04,7.560533e-03,28665,5166,23499,157.7,1147229,1655102,0
YBR083W,487,0.64,2749.56,1757.56,3.5456,17.27,1.374042e-04,1.775605e-05,1.174562e-01,132944,7278,125666,258.0,13870373,20010719,0
YBR084W,976,5.23,2682.05,14037.51,1.4675,14.32,7.194157e-05,1.453854e-04,7.510718e-03,212991,13900,199091,204.0,25841189,37280955,0
YBR085C-A,86,18.72,NA,NA,0.6392,0.55,3.129775e-05,5.198792e-04,9.137617e-04,49515,31951,17564,204.2,NA,NA,0
YBR085W,308,3.10,52.21,161.77,0.4449,1.37,2.326996e-05,8.606075e-05,4.104052e-03,101857,42974,58883,191.2,1555313,2243842,0
YBR086C,947,1.82,21498.48,39133.98,2.2888,21.67,1.113029e-04,5.056427e-05,3.341067e-02,203721,8984,194737,205.6,133883372,193152877,0
YBR087W,355,8.83,41.78,369.01,0.3027,1.07,1.251001e-05,2.453154e-04,7.740255e-04,165826,79936,85890,241.9,2315174,3340089,0
YBR088C,259,6.61,2035.76,13462.07,2.0704,5.36,1.098956e-04,1.836890e-04,9.080703e-03,57894,9100,48794,188.4,12840183,18524468,0
YBR091C,110,5.32,1.94,10.30,0.9723,1.07,3.131102e-05,1.478680e-04,3.213996e-03,66097,31938,34159,310.5,42842,61808,0
YBR094W,754,1.92,1534.31,2943.26,0.7182,5.42,3.515179e-05,5.328583e-05,1.001286e-02,182503,28448,154055,204.3,30254642,43648222,0
YBR095C,431,2.20,277.77,611.96,0.8100,3.49,3.470333e-05,6.119846e-05,8.607023e-03,129412,28816,100596,233.4,5548017,8004097,0
YBR096W,231,9.13,355.83,3250.13,0.6509,1.50,3.214664e-05,2.537202e-04,1.923104e-03,77882,31107,46775,202.5,7672425,11068970,0
YBR097W,1455,0.44,234.62,102.19,0.6305,9.17,2.628931e-05,1.209857e-05,3.298128e-02,386976,38038,348938,239.8,6186131,8924700,0
YBR098W,692,0.72,286.61,205.50,0.4530,3.13,1.862124e-05,1.991678e-05,1.419096e-02,222030,53702,168328,243.2,10668649,15391606,0
YBR101C,291,11.67,90.96,1061.08,0.9210,2.68,4.159450e-05,3.240524e-04,1.948242e-03,88473,24042,64431,221.4,1515719,2186721,0
YBR102C,754,0.62,826.08,511.83,2.5123,18.94,9.913231e-05,1.721094e-05,8.742446e-02,201170,10088,191082,253.4,5776070,8333107,0
YBR103W,536,3.80,63.07,239.38,0.2529,1.36,9.879428e-06,1.054231e-04,1.422389e-03,238416,101220,137196,256.0,4425364,6384450,0
YBR104W,330,9.77,51.06,498.92,0.2416,0.80,9.965456e-06,2.714078e-04,5.573104e-04,180363,100347,80016,242.5,3551665,5123970,0
YBR105C,363,0.68,639.05,436.36,0.9067,3.29,3.633760e-05,1.896750e-05,2.907827e-02,118097,27520,90577,249.5,12190065,17586546,0
YBR106W,189,61.56,64.75,3986.22,1.1053,2.09,8.004318e-05,1.710084e-03,7.104430e-04,38591,12493,26098,138.1,560715,808941,0
YBR108W,948,0.23,3221.29,735.56,3.8068,36.09,1.466147e-04,6.342834e-06,3.508461e-01,252968,6821,246147,259.6,15229224,21971126,0
YBR109C,148,13.38,733.68,9816.98,3.7199,5.51,1.884668e-04,3.716786e-04,7.696435e-03,34518,5306,29212,197.4,2698352,3892899,0
YBR110W,450,4.60,965.86,4444.45,0.4269,1.92,1.922460e-05,1.278205e-04,2.282859e-03,151945,52017,99928,222.1,34824350,50240918,0
YBR111C,232,10.03,170.75,1711.89,1.4000,3.25,7.646504e-05,2.784920e-04,4.167470e-03,55554,13078,42476,183.1,1547827,2233043,0
YBR111W-A,97,7.46,NA,NA,1.0147,0.98,3.851091e-05,2.071946e-04,2.821160e-03,51525,25967,25558,263.5,NA,NA,0
YBR114W,791,0.45,1033.51,469.03,0.9182,7.26,4.041161e-05,1.260620e-05,4.865689e-02,204477,24745,179732,227.2,17726877,25574478,0
YBR115C,1393,1.07,2429.17,2596.97,4.9734,69.28,2.636921e-04,2.969655e-05,1.347763e-01,266522,3792,262730,188.6,6385371,9212142,1
YBR119W,299,1.59,21.27,33.91,0.7859,2.35,3.044283e-05,4.427904e-05,1.043540e-02,110036,32848,77188,258.2,484352,698773,0
YBR120C,163,3.13,73.86,231.29,1.1644,1.90,5.074941e-05,8.698168e-05,8.855753e-03,57104,19705,37399,229.4,1008816,1455414,0
YBR121C,668,16.98,2578.09,43786.99,1.3739,9.18,9.675129e-05,4.717847e-04,3.112685e-03,105192,10336,94856,142.0,18470024,26646613,0
YBR122C,178,10.93,21.37,233.46,0.4468,0.80,2.243393e-05,3.035198e-04,1.121865e-03,80026,44575,35451,199.2,660146,952390,0
YBR123C,650,1.37,390.34,535.67,1.0806,7.02,4.957061e-05,3.811922e-05,1.973797e-02,161870,20173,141697,218.0,5458190,7874504,0
YBR125C,394,2.69,250.32,673.57,0.4711,1.86,2.047604e-05,7.474493e-05,4.158021e-03,139483,48838,90645,230.1,8473763,12225056,0
YBR126C,496,4.28,480.31,2053.99,2.1639,10.73,9.739045e-05,1.187893e-04,1.244404e-02,120471,10268,110203,222.2,3418431,4931753,0
YBR127C,518,14.35,9647.99,138427.90,3.1093,16.11,1.971209e-04,3.985517e-04,7.507067e-03,86779,5073,81706,157.7,33925747,48944507,0
YBR129C,329,6.38,59.90,382.07,0.2951,0.97,1.289223e-05,1.771839e-04,1.104399e-03,152874,77566,75308,228.9,3220462,4646145,0
YBR130C,426,1.68,1455.40,2451.05,2.6593,11.33,1.226921e-04,4.678064e-05,3.980823e-02,100482,8150,92332,216.7,8222265,11862221,0
YBR131W,705,0.86,115.86,99.32,0.3057,2.16,1.288161e-05,2.381341e-05,8.210526e-03,244963,77630,167333,237.4,6234152,8993980,0
YBR132C,597,0.29,1226.76,357.88,3.4412,20.54,1.557323e-04,8.103457e-06,2.916961e-01,138339,6421,131918,221.0,5460167,7877356,0
YBR133C,828,1.09,877.55,953.97,0.6103,5.05,2.689631e-05,3.019681e-05,1.351929e-02,225073,37180,187893,226.9,22615407,32627136,0
YBR135W,151,3.05,237.51,723.98,1.6493,2.49,6.765556e-05,8.467090e-05,1.212807e-02,51592,14781,36811,243.8,2433390,3510639,0
YBR136W,2369,0.20,328.85,66.72,0.9455,22.40,4.074594e-05,5.636035e-06,1.097319e-01,574279,24542,549737,232.1,5594155,8070660,0
YBR137W,180,5.82,29.52,171.77,0.9869,1.78,5.115596e-05,1.616557e-04,4.803166e-03,54274,19548,34726,192.9,399939,576990,0
YBR138C,525,1.33,NA,NA,0.6715,3.53,2.895759e-05,3.699318e-05,1.188127e-02,156268,34533,121735,231.9,NA,NA,0
YBR139W,509,1.14,998.51,1133.45,2.1696,11.04,1.033257e-04,3.153148e-05,4.973778e-02,116557,9678,106879,210.0,6698401,9663750,0
YBR140C,3093,0.31,645.33,200.03,0.9585,29.65,4.107561e-05,8.610307e-06,7.240819e-02,746095,24345,721750,233.3,10889874,15710768,0
YBR141C,338,1.34,95.35,127.93,0.7489,2.53,3.000805e-05,3.726854e-05,1.222131e-02,117677,33324,84353,249.6,2202560,3177622,0
YBR142W,774,3.06,2233.71,6840.33,1.1947,9.25,5.571874e-05,8.506431e-05,9.942057e-03,183908,17947,165961,214.4,27787637,40089087,0
YBR143C,438,24.42,14912.02,364150.80,1.1309,4.95,7.239380e-05,6.783321e-04,1.619874e-03,82236,13813,68423,156.2,142777742,205984740,0
YBR145W,352,1.80,209.69,376.98,0.5288,1.86,2.935643e-05,4.993827e-05,8.922614e-03,97467,34064,63403,180.1,4951099,7142925,0
YBR146W,279,3.98,447.40,1779.20,1.0938,3.05,4.567408e-05,1.104658e-04,6.275730e-03,88710,21894,66816,239.5,6789688,9795449,0
YBR149W,345,2.87,1854.85,5315.83,2.7125,9.36,1.392715e-04,7.960855e-05,2.655369e-02,74373,7180,67193,194.8,9231505,13318246,0
YBR151W,317,7.48,84.21,629.56,0.4341,1.38,1.941928e-05,2.076702e-04,1.419323e-03,122360,51495,70865,223.5,3005733,4336356,0
YBR152W,292,0.97,138.36,134.88,1.1053,3.23,5.047425e-05,2.707920e-05,2.829153e-02,83757,19812,63945,219.0,1900075,2741229,0
YBR153W,245,4.34,17.89,77.73,0.2112,0.52,7.942341e-06,1.206761e-04,9.989634e-04,191042,125907,65135,265.9,1561527,2252808,0
YBR154C,216,25.99,140.11,3642.03,0.8815,1.90,4.743129e-05,7.220733e-04,9.970249e-04,61225,21083,40142,185.8,2047480,2953890,0
YBR155W,386,1.64,4928.48,8081.20,3.4167,13.19,1.575116e-04,4.554710e-05,5.248969e-02,90080,6349,83731,216.9,21688321,31289633,0
YBR156C,699,0.34,1446.61,486.11,2.1050,14.71,8.926056e-05,9.334364e-06,1.451434e-01,176043,11203,164840,235.8,11233554,16206592,0
YBR157C,256,5.09,14.32,72.98,0.4404,1.13,1.922608e-05,1.415213e-04,2.062012e-03,110648,52013,58635,229.0,516413,745027,0
YBR158W,550,9.78,284.05,2778.56,0.3054,1.68,1.297560e-05,2.717156e-04,7.248283e-04,206525,77068,129457,235.4,15174000,21891455,0
YBR159W,348,14.54,812.38,11811.64,0.7275,2.53,3.820013e-05,4.038785e-04,1.435610e-03,92449,26178,66271,190.4,14740682,21266308,0
YBR160W,299,6.67,159.50,1064.40,0.6132,1.83,3.159724e-05,1.853717e-04,2.587188e-03,89677,31648,58029,194.1,3498936,5047898,0
YBR161W,377,2.44,72.40,176.73,0.3744,1.41,1.527610e-05,6.781149e-05,3.419256e-03,157869,65462,92407,245.1,3284914,4739129,0
YBR162C,456,5.67,21747.62,123289.80,4.3198,19.70,2.825802e-04,1.574755e-04,2.723648e-02,73248,3539,69709,152.9,53345221,76960885,1
YBR162W-A,66,27.50,317.39,8728.39,1.5217,1.00,7.266946e-05,7.639007e-04,1.443901e-03,27581,13761,13820,209.4,3027390,4367600,0
YBR163W,586,1.60,81.20,130.16,0.1914,1.12,8.532607e-06,4.452922e-05,2.908432e-03,248643,117197,131446,224.3,6596051,9516089,0
YBR164C,184,15.34,199.91,3065.66,0.6956,1.28,3.448994e-05,4.259832e-04,1.228916e-03,66103,28994,37109,201.7,4017562,5796117,0
YBR165W,278,5.11,125.73,642.42,0.3551,0.99,1.414219e-05,1.419351e-04,1.512339e-03,140515,70710,69805,251.1,6162167,8890128,0
YBR166C,453,5.65,306.67,1732.18,0.4782,2.17,2.143590e-05,1.568993e-04,2.073687e-03,147710,46651,101059,223.1,9916368,14306295,0
YBR167C,141,2.78,84.56,234.96,0.7139,1.01,3.225336e-05,7.718004e-05,6.342964e-03,62214,31005,31209,221.3,1817310,2621823,0
YBR168W,414,2.43,NA,NA,0.1740,0.72,7.367499e-06,6.742357e-05,1.658558e-03,233479,135731,97748,236.1,NA,NA,0
YBR169C,694,0.54,508.61,272.72,2.4024,16.67,1.187178e-04,1.489455e-05,1.209792e-01,148860,8423,140437,202.4,2969576,4284193,0
YBR170C,581,1.83,239.60,439.63,1.4570,8.47,5.887139e-05,5.096747e-05,1.753208e-02,160778,16986,143792,247.5,2821041,4069902,0
YBR171W,207,8.88,107.58,955.23,1.1467,2.37,5.364212e-05,2.466464e-04,3.301060e-03,62891,18642,44249,213.8,1390112,2005507,0
YBR172C,741,2.43,304.69,740.16,0.8657,6.41,3.900471e-05,6.747798e-05,8.773590e-03,190093,25638,164455,221.9,5414642,7811677,0
YBR173C,149,4.17,510.67,2127.23,3.9106,5.83,1.830045e-04,1.157106e-04,2.400551e-02,37304,5464,31840,213.7,1934208,2790472,0
YBR175W,316,8.08,12.34,99.78,0.1525,0.48,5.972263e-06,2.245472e-04,4.036952e-04,248131,167441,80690,255.3,1432530,2066704,0
YBR176W,313,3.36,125.10,420.40,0.4701,1.47,2.035992e-05,9.334496e-05,3.310605e-03,121383,49116,72267,230.9,4259079,6144553,0
YBR177C,452,2.03,19361.08,39207.49,2.0243,9.15,9.527901e-05,5.625186e-05,2.570885e-02,106526,10495,96031,212.5,140850314,203204049,0
YBR179C,856,1.18,1513.64,1783.05,0.7826,6.70,3.541031e-05,3.272183e-05,1.642534e-02,217414,28240,189174,221.0,29629146,42745821,0
YBR182C,453,1.21,NA,NA,0.1638,0.74,7.121781e-06,3.364440e-05,3.212907e-03,244632,140414,104218,230.1,NA,NA,0
YBR183W,317,1.98,42.14,83.40,0.2388,0.76,1.006984e-05,5.497830e-05,2.780055e-03,174482,99306,75176,237.1,2900511,4184553,0
YBR184W,524,0.86,NA,NA,0.3432,1.80,1.457369e-05,2.391652e-05,9.248979e-03,192003,68617,123386,235.5,NA,NA,0
YBR185C,279,2.15,114.57,246.75,0.8644,2.41,3.550545e-05,5.982466e-05,9.008182e-03,96090,28165,67925,243.5,2236692,3226865,0
YBR187W,281,16.62,99.48,1653.31,0.6352,1.79,3.134204e-05,4.616517e-04,1.030469e-03,88859,31906,56953,202.7,2200065,3174022,0
YBR188C,141,2.44,108.07,263.99,1.1165,1.57,4.010716e-05,6.785623e-05,8.971281e-03,64184,24933,39251,278.4,1867684,2694499,0
YBR189W,196,308.53,2698.84,832667.20,1.2610,2.47,1.271942e-04,8.570205e-03,2.252675e-04,27293,7862,19431,99.1,14707397,21218288,0
YBR192W,378,5.39,222.33,1198.99,0.3847,1.45,1.686300e-05,1.497989e-04,1.708632e-03,145525,59301,86224,228.1,9138947,13184713,0
YBR193C,224,1.66,NA,NA,0.9683,2.17,4.199611e-05,4.605395e-05,1.384090e-02,75457,23812,51645,230.6,NA,NA,0
YBR194W,124,3.75,49.99,187.48,0.6336,0.79,2.723511e-05,1.041859e-04,3.967733e-03,65563,36717,28846,232.6,1272178,1835365,0
YBR195C,423,2.58,274.75,709.26,0.3339,1.41,1.359239e-05,7.170713e-05,2.877105e-03,177476,73571,103905,245.6,14010952,20213531,0
YBR196C,555,35.84,4834.37,173272.00,3.9551,21.95,3.441743e-04,9.956015e-04,5.247050e-03,66684,2906,63778,114.9,9736148,14046293,0
YBR197C,218,0.88,36.07,31.81,1.6625,3.62,6.307307e-05,2.449779e-05,3.907864e-02,73317,15855,57462,263.6,396361,571828,0
YBR198C,799,1.19,NA,NA,2.1082,16.84,9.081267e-05,3.294365e-05,4.184052e-02,196499,11012,185487,232.1,NA,NA,0
YBR199W,465,10.89,253.25,2756.95,0.4410,2.05,1.833007e-05,3.024029e-04,9.200267e-04,166429,54555,111874,240.6,9576408,13815836,0
YBR200W,552,1.87,NA,NA,0.9464,5.22,4.401210e-05,5.204855e-05,1.283470e-02,141420,22721,118699,215.0,NA,NA,0
YBR201W,212,5.34,36.12,192.95,0.2734,0.58,1.173780e-05,1.483731e-04,1.200754e-03,134583,85195,49388,233.0,2133165,3077506,0
YBR202W,846,2.07,489.21,1010.47,0.7888,6.67,3.632295e-05,5.737614e-05,9.608865e-03,211256,27531,183725,217.2,9335456,13468216,0
YBR204C,376,1.96,57.29,112.10,0.4684,1.76,1.868637e-05,5.435417e-05,5.218125e-03,147761,53515,94246,250.7,2125020,3065756,0
YBR205W,405,8.73,NA,NA,0.6826,2.76,3.206487e-05,2.423938e-04,2.007846e-03,117399,31187,86212,212.9,NA,NA,0
YBR207W,466,4.18,67.57,282.29,0.3745,1.75,1.603940e-05,1.160475e-04,2.097851e-03,171164,62346,108818,233.5,2920096,4212808,0
YBR208C,1836,0.54,357.79,194.53,0.8355,15.34,4.216808e-05,1.510242e-05,4.237987e-02,387511,23715,363796,198.1,5881292,8484911,0
YBR210W,143,6.14,115.48,709.26,0.4606,0.66,1.774675e-05,1.705991e-04,1.578936e-03,93464,56348,37116,259.6,4510577,6507387,0
YBR211C,325,4.39,116.49,511.22,0.3432,1.12,1.400730e-05,1.219018e-04,1.744081e-03,151013,71391,79622,245.0,5764535,8316466,0
YBR212W,673,0.55,6195.03,3425.35,4.5901,30.89,1.907612e-04,1.535886e-05,1.885182e-01,167180,5242,161938,240.6,22510185,32475332,1
YBR214W,528,0.40,1851.49,749.40,2.2435,11.85,9.623471e-05,1.124316e-05,1.299169e-01,133481,10391,123090,233.1,13335693,19239338,0
YBR215W,626,0.98,1466.67,1436.56,1.6861,10.55,7.649247e-05,2.720748e-05,4.267295e-02,151059,13073,137986,220.4,13290450,19174066,0
YBR216C,675,2.06,567.00,1168.29,0.4991,3.37,2.096725e-05,5.723533e-05,5.560318e-03,208380,47693,160687,238.1,18744262,27042253,0
YBR217W,187,3.84,2.99,11.48,0.1042,0.19,4.081577e-06,1.067484e-04,5.803486e-04,292764,245003,47761,255.4,507374,731986,0
YBR220C,561,4.17,45.16,188.18,0.2478,1.39,1.078898e-05,1.157554e-04,1.414690e-03,221544,92687,128857,229.7,2901217,4185572,0
YBR221C,367,12.39,2623.71,32519.14,1.9522,7.16,1.182895e-04,3.442873e-04,5.214920e-03,69021,8454,60567,165.0,15374276,22180391,0
YBR222C,544,1.66,NA,NA,2.8144,15.31,1.349225e-04,4.621147e-05,4.431563e-02,120889,7412,113477,208.6,NA,NA,0
YBR225W,901,0.28,1835.38,521.60,1.3653,12.30,6.220157e-05,7.894275e-06,1.195946e-01,213845,16077,197768,219.5,20452677,29506975,0
YBR227C,521,1.71,NA,NA,1.3049,6.80,6.117835e-05,4.754559e-05,1.953034e-02,127473,16346,111127,213.3,NA,NA,0
YBR228W,305,1.63,5.41,8.83,0.2005,0.61,7.661377e-06,4.537320e-05,2.562889e-03,210342,130525,79817,261.7,489343,705972,0
YBR229C,955,1.09,6257.29,6849.57,1.7246,16.47,7.903035e-05,3.040709e-05,3.944949e-02,221059,12653,208406,218.2,54880431,79175725,0
YBR230C,135,1.76,458.25,804.97,2.7589,3.72,1.409144e-04,4.879486e-05,4.383324e-02,33528,7097,26431,195.8,2254112,3251996,0
YBR231C,304,1.21,42.81,51.60,1.4312,4.35,5.447682e-05,3.347930e-05,2.469777e-02,98224,18356,79868,262.7,544708,785847,0
YBR233W,414,0.71,1947.68,1389.71,2.1134,8.75,9.119914e-05,1.982005e-05,6.984066e-02,106902,10965,95937,231.7,14803109,21356372,0
YBR233W-A,95,5.47,239.96,1312.01,0.7404,0.70,2.366590e-05,1.518765e-04,2.365128e-03,71975,42255,29720,312.8,7028239,10139605,0
YBR234C,385,2.72,709.64,1929.78,2.9624,11.41,1.587923e-04,7.553780e-05,3.190711e-02,78122,6298,71824,186.6,3097679,4469006,0
YBR235W,1121,0.52,209.66,109.62,0.8010,8.98,3.281257e-05,1.452368e-05,3.429145e-02,304118,30476,273642,244.1,4428895,6389544,0
YBR236C,437,3.27,131.50,429.42,0.6650,2.91,3.062582e-05,9.070683e-05,5.124719e-03,127537,32652,94885,217.1,2976309,4293906,0
YBR237W,850,1.17,298.36,349.31,0.4567,3.88,1.883971e-05,3.252133e-05,8.792822e-03,259128,53079,206049,242.4,10977065,15836558,0
YBR238C,732,0.41,4726.47,1942.78,2.3072,16.89,1.301383e-04,1.141783e-05,1.729991e-01,137461,7684,129777,177.3,25174310,36318853,0
YBR242W,239,3.68,89.87,330.87,0.9990,2.39,4.369273e-05,1.022645e-04,6.484949e-03,77532,22887,54645,228.6,1425751,2056923,0
YBR243C,449,1.60,1110.27,1780.69,0.9155,4.11,4.321083e-05,4.455109e-05,1.472165e-02,118267,23142,95125,211.9,17809878,25694223,0
YBR244W,163,16.06,231.64,3720.11,0.7803,1.27,4.267907e-05,4.461173e-04,1.452072e-03,53232,23431,29801,182.8,3761969,5427373,0
YBR245C,1130,0.86,2036.46,1755.73,4.2344,47.85,2.057785e-04,2.394851e-05,1.304199e-01,237387,4860,232527,205.8,6859648,9896380,1
YBR246W,388,3.07,575.41,1763.86,0.5039,1.96,2.066847e-05,8.515016e-05,3.684218e-03,142976,48383,94593,243.8,19297161,27839919,0
YBR247C,484,2.98,1052.89,3133.44,1.7094,8.27,8.284479e-05,8.266768e-05,1.521079e-02,111937,12071,99866,206.3,8809344,12709197,0
YBR248C,553,5.45,165.33,901.64,0.8545,4.73,3.953869e-05,1.514900e-04,3.961508e-03,144805,25292,119513,216.1,2898345,4181428,0
YBR249C,371,19.33,4995.51,96543.66,1.9580,7.26,1.468148e-04,5.368362e-04,4.150977e-03,56290,6811,49479,133.4,23584959,34025903,0
YBR251W,308,5.00,75.82,378.95,0.5353,1.65,2.248875e-05,1.388383e-04,2.458546e-03,117780,44467,73313,238.0,2336830,3371333,0
YBR252W,148,11.19,32.61,365.11,1.1334,1.68,5.782471e-05,3.109662e-04,2.822426e-03,46303,17294,29009,196.0,390947,564017,0
YBR253W,122,6.03,6.58,39.66,0.5703,0.70,1.869658e-05,1.675010e-04,1.694209e-03,90697,53486,37211,305.0,243824,351764,0
YBR254C,176,6.06,40.62,245.98,0.6185,1.09,2.496278e-05,1.682234e-04,2.252314e-03,83668,40060,43608,247.8,1127833,1627119,0
YBR255W,695,1.16,251.41,292.14,0.4205,2.92,1.673644e-05,3.227796e-05,7.870082e-03,234377,59750,174627,251.3,10412302,15021776,0
YBR256C,239,10.69,24.19,258.61,0.3968,0.95,1.721441e-05,2.969957e-04,8.797599e-04,113175,58091,55084,230.5,973930,1405084,0
YBR257W,280,2.27,162.66,368.97,0.9043,2.53,3.802544e-05,6.301042e-05,9.159762e-03,92884,26298,66586,237.8,2965010,4277605,0
YBR258C,143,3.27,59.64,195.20,0.7363,1.05,3.383658e-05,9.091810e-05,5.648829e-03,60670,29554,31116,217.6,1221709,1762553,0
YBR259W,689,1.12,NA,NA,0.1033,0.71,4.478694e-06,3.117555e-05,2.180518e-03,382253,223279,158974,230.7,NA,NA,0
YBR260C,667,0.71,2256.06,1606.77,1.6086,10.73,7.241228e-05,1.978334e-05,5.555650e-02,161977,13810,148167,222.1,21595527,31155760,0
YBR261C,233,2.46,213.60,526.45,2.3221,5.41,9.504931e-05,6.846146e-05,2.107294e-02,67444,10521,56923,244.3,1557714,2247306,0
YBR262C,107,8.76,1.15,10.06,0.3623,0.39,1.425511e-05,2.433174e-04,8.892413e-04,97348,70150,27198,254.2,55836,80554,0
YBR263W,491,3.25,6033.70,19613.61,4.6029,22.60,2.568503e-04,9.029649e-05,4.317492e-02,91883,3893,87990,179.2,16282813,23491133,1
YBR264C,200,2.95,12.42,36.62,0.7028,1.41,2.545210e-05,8.191416e-05,4.716143e-03,94518,39289,55229,276.1,338171,487877,0
